state,name,wikipedia_url,official_url,pop2013,OCDID,census_geoid
Arkansas,Carroll County,"https://en.wikipedia.org/wiki/Carroll_County,_Arkansas",http://co.carroll.ar.us/,"27,808",ocd-division/country:us/state:ar/county:carroll,05015
Arkansas,Chicot County,"https://en.wikipedia.org/wiki/Chicot_County,_Arkansas",http://chicotcounty.arkansas.gov/index,"11,335",ocd-division/country:us/state:ar/county:chicot,05017
Arkansas,Clark County,"https://en.wikipedia.org/wiki/Clark_County,_Arkansas",http://www.clarkcountyarkansas.com,"22,743",ocd-division/country:us/state:ar/county:clark,05019
Arkansas,Clay County,"https://en.wikipedia.org/wiki/Clay_County,_Arkansas",http://claycounty.arkansas.gov,"15,402",ocd-division/country:us/state:ar/county:clay,05021
Arkansas,Cleburne County,"https://en.wikipedia.org/wiki/Cleburne_County,_Arkansas",http://www.cleburnecountyar.com/,"25,686",ocd-division/country:us/state:ar/county:cleburne,05023
Arkansas,Cleveland County,"https://en.wikipedia.org/wiki/Cleveland_County,_Arkansas",http://clevelandcounty.arkansas.gov/,"8,593",ocd-division/country:us/state:ar/county:cleveland,05025
Arkansas,Columbia County,"https://en.wikipedia.org/wiki/Columbia_County,_Arkansas",http://www.countyofcolumbia.org/,"24,164",ocd-division/country:us/state:ar/county:columbia,05027
Arkansas,Conway County,"https://en.wikipedia.org/wiki/Conway_County,_Arkansas",,"21,245",ocd-division/country:us/state:ar/county:conway,05029
Arkansas,Craighead County,"https://en.wikipedia.org/wiki/Craighead_County,_Arkansas",http://craigheadcounty.org,"101,488",ocd-division/country:us/state:ar/county:craighead,05031
Arkansas,Crawford County,"https://en.wikipedia.org/wiki/Crawford_County,_Arkansas",http://www.crawford-county.org/,"61,640",ocd-division/country:us/state:ar/county:crawford,05033
Arkansas,Crittenden County,"https://en.wikipedia.org/wiki/Crittenden_County,_Arkansas",http://crittenden.ark.org/,"49,746",ocd-division/country:us/state:ar/county:crittenden,05035
Arkansas,Cross County,"https://en.wikipedia.org/wiki/Cross_County,_Arkansas",http://crosscountyar.org/,"17,548",ocd-division/country:us/state:ar/county:cross,05037
Arkansas,Dallas County,"https://en.wikipedia.org/wiki/Dallas_County,_Arkansas",,"7,933",ocd-division/country:us/state:ar/county:dallas,05039
Arkansas,Desha County,"https://en.wikipedia.org/wiki/Desha_County,_Arkansas",http://deshacounty.arkansas.gov,"12,505",ocd-division/country:us/state:ar/county:desha,05041
Arkansas,Drew County,"https://en.wikipedia.org/wiki/Drew_County,_Arkansas",http://drewcounty.arkansas.gov/,"18,785",ocd-division/country:us/state:ar/county:drew,05043
Arkansas,Faulkner County,"https://en.wikipedia.org/wiki/Faulkner_County,_Arkansas",http://www.faulknercounty.org,"119,580",ocd-division/country:us/state:ar/county:faulkner,05045
Arkansas,Franklin County,"https://en.wikipedia.org/wiki/Franklin_County,_Arkansas",,"18,034",ocd-division/country:us/state:ar/county:franklin,05047
Arkansas,Fulton County,"https://en.wikipedia.org/wiki/Fulton_County,_Arkansas",http://fulton.ark.org/,"12,304",ocd-division/country:us/state:ar/county:fulton,05049
Arkansas,Garland County,"https://en.wikipedia.org/wiki/Garland_County,_Arkansas",http://www.garlandcounty.org/,"97,173",ocd-division/country:us/state:ar/county:garland,05051
Arkansas,Grant County,"https://en.wikipedia.org/wiki/Grant_County,_Arkansas",http://www.grantcountyar.com,"18,019",ocd-division/country:us/state:ar/county:grant,05053
Arkansas,Greene County,"https://en.wikipedia.org/wiki/Greene_County,_Arkansas",http://county.arkansas.gov/greene/,"43,097",ocd-division/country:us/state:ar/county:greene,05055
Arkansas,Hempstead County,"https://en.wikipedia.org/wiki/Hempstead_County,_Arkansas",http://www.hempsteadcountyar.com,"22,474",ocd-division/country:us/state:ar/county:hempstead,05057
Arkansas,Hot Spring County,"https://en.wikipedia.org/wiki/Hot_Spring_County,_Arkansas",,"33,500",ocd-division/country:us/state:ar/county:hot_spring,05059
Arkansas,Howard County,"https://en.wikipedia.org/wiki/Howard_County,_Arkansas",,"13,581",ocd-division/country:us/state:ar/county:howard,05061
Arkansas,Independence County,"https://en.wikipedia.org/wiki/Independence_County,_Arkansas",http://www.independencecounty.com/,"36,997",ocd-division/country:us/state:ar/county:independence,05063
Arkansas,Izard County,"https://en.wikipedia.org/wiki/Izard_County,_Arkansas",http://www.izardcountyar.org/,"13,368",ocd-division/country:us/state:ar/county:izard,05065
Arkansas,Jackson County,"https://en.wikipedia.org/wiki/Jackson_County,_Arkansas",http://www.jacksoncountyar.org/,"17,615",ocd-division/country:us/state:ar/county:jackson,05067
Arkansas,Jefferson County,"https://en.wikipedia.org/wiki/Jefferson_County,_Arkansas",http://jeffersoncounty.arkansas.gov,"73,191",ocd-division/country:us/state:ar/county:jefferson,05069
Arkansas,Johnson County,"https://en.wikipedia.org/wiki/Johnson_County,_Arkansas",http://johnsoncounty.arkansas.gov/,"25,846",ocd-division/country:us/state:ar/county:johnson,05071
Arkansas,Lafayette County,"https://en.wikipedia.org/wiki/Lafayette_County,_Arkansas",http://www.lafayettecounty.arkansas.gov,"7,252",ocd-division/country:us/state:ar/county:lafayette,05073
Arkansas,Lawrence County,"https://en.wikipedia.org/wiki/Lawrence_County,_Arkansas",http://www.lawrencecountyarkansas.com/,"17,011",ocd-division/country:us/state:ar/county:lawrence,05075
Arkansas,Lee County,"https://en.wikipedia.org/wiki/Lee_County,_Arkansas",http://leecounty.arkansas.gov,"10,015",ocd-division/country:us/state:ar/county:lee,05077
Arkansas,Lincoln County,"https://en.wikipedia.org/wiki/Lincoln_County,_Arkansas",http://lincolncounty.arkansas.gov/,"14,031",ocd-division/country:us/state:ar/county:lincoln,05079
Arkansas,Little River County,"https://en.wikipedia.org/wiki/Little_River_County,_Arkansas",http://www.littlerivercounty.org/,"12,730",ocd-division/country:us/state:ar/county:little_river,05081
Arkansas,Logan County,"https://en.wikipedia.org/wiki/Logan_County,_Arkansas",,"22,082",ocd-division/country:us/state:ar/county:logan,05083
Arkansas,Lonoke County,"https://en.wikipedia.org/wiki/Lonoke_County,_Arkansas",,"70,753",ocd-division/country:us/state:ar/county:lonoke,05085
Arkansas,Madison County,"https://en.wikipedia.org/wiki/Madison_County,_Arkansas",http://madisoncogov.com/,"15,701",ocd-division/country:us/state:ar/county:madison,05087
Arkansas,Marion County,"https://en.wikipedia.org/wiki/Marion_County,_Arkansas",http://marioncounty.arkansas.gov/,"16,430",ocd-division/country:us/state:ar/county:marion,05089
Arkansas,Miller County,"https://en.wikipedia.org/wiki/Miller_County,_Arkansas",http://www.millercountyar.org/,"43,402",ocd-division/country:us/state:ar/county:miller,05091
Arkansas,Mississippi County,"https://en.wikipedia.org/wiki/Mississippi_County,_Arkansas",http://www.mcagov.com/,"44,765",ocd-division/country:us/state:ar/county:mississippi,05093
Arkansas,Monroe County,"https://en.wikipedia.org/wiki/Monroe_County,_Arkansas",,"7,682",ocd-division/country:us/state:ar/county:monroe,05095
Arkansas,Montgomery County,"https://en.wikipedia.org/wiki/Montgomery_County,_Arkansas",,"9,226",ocd-division/country:us/state:ar/county:montgomery,05097
Arkansas,Nevada County,"https://en.wikipedia.org/wiki/Nevada_County,_Arkansas",http://nevadacounty.arkansas.gov/,"8,799",ocd-division/country:us/state:ar/county:nevada,05099
Arkansas,Newton County,"https://en.wikipedia.org/wiki/Newton_County,_Arkansas",,"8,064",ocd-division/country:us/state:ar/county:newton,05101
Arkansas,Ouachita County,"https://en.wikipedia.org/wiki/Ouachita_County,_Arkansas",,"25,002",ocd-division/country:us/state:ar/county:ouachita,05103
Arkansas,Perry County,"https://en.wikipedia.org/wiki/Perry_County,_Arkansas",http://perrycoarkansas.org/,"10,345",ocd-division/country:us/state:ar/county:perry,05105
